Tous	HP:0000001
Susceptibilité aux infections	HP:0002719
Diminution du taux d’IgA circulantes	HP:0002720
Diminution des IgA	HP:0002720
Diminution des immunoglobulines A	HP:0002720
Déficit en globuline gamma-A	HP:0002720
Déficit en IgA	HP:0002720
Faibles niveaux d'immunoglobuline A	HP:0002720
Niveaux d'IgA réduits	HP:0002720
Immunodéficience	HP:0002721
Diminution de la fonction immunitaire	HP:0002721
Déficit immunitaire	HP:0002721
Formation récurrente d'abcès	HP:0002722
Absence d’éclatement respiratoire oxydatif bactéricide dans les phagocytes	HP:0002723
Infections récurrentes à Aspergillus	HP:0002724
Infections à Aspergillus, récurrentes	HP:0002724
Lupus érythémateux systémique	HP:0002725
LED	HP:0002725
Infections récurrentes à Staphylococcus aureus	HP:0002726
Infections à Staphylococcus aureus, récurrentes	HP:0002726
Candidose cutanéo-muqueuse chronique	HP:0002728
Candidose chronique des muqueuses, de la peau et des ongles	HP:0002728
Candidose cutanéo-muqueuse	HP:0002728
Hyperplasie folliculaire	HP:0002729
Lymphadénopathie chronique non infectieuse	HP:0002730
Diminution de l'apoptose des lymphocytes	HP:0002731
Apoptose lymphocytaire défectueuse	HP:0002731
Hypoplasie des ganglions lymphatiques	HP:0002732
Petits ganglions lymphatiques	HP:0002732
Anomalie des ganglions lymphatiques	HP:0002733
Histologie anormale des ganglions lymphatiques	HP:0002733
Anomalie des ganglions lymphatiques	HP:0002733
Base de crâne épaisse	HP:0002737
Augmentation de l'épaisseur de l'os de la base du crâne	HP:0002737
Augmentation de l'épaisseur de la base du crâne	HP:0002737
Base de crâne épaisse	HP:0002737
Sinus frontaux hypoplasiques	HP:0002738
Diminution de la pneumatisation du sinus frontal	HP:0002738
Diminution du volume des sinus frontaux	HP:0002738
Sinus frontal hypotrophique	HP:0002738
Petits sinus frontaux	HP:0002738
Sinus frontaux sous-développés	HP:0002738
Infections récurrentes à E. coli	HP:0002740
Infections à E. coli	HP:0002740
Infections à E. coli, récurrentes	HP:0002740
Infections récurrentes à Serratia marcescens	HP:0002741
Infections récurrentes à Klebsiella	HP:0002742
Infections à Klebsiella, récurrentes	HP:0002742
Infections entérovirales récurrentes	HP:0002743
Fente labio-palatine bilatérale	HP:0002744
Fente labiale bilatérale et fente palatine	HP:0002744
Fente labiale et palatine droite et gauche	HP:0002744
Leucoplasie buccale	HP:0002745
leucokératose	HP:0002745
Kératose orale idiopathique	HP:0002745
Leucoplasie buccale idiopathique	HP:0002745
Tache blanche idiopathique buccale	HP:0002745
Leucoplasie buccale	HP:0002745
Leucokératose buccale	HP:0002745
Leucoplasie buccale	HP:0002745
Tache blanche buccale	HP:0002745
Plaque blanche buccale	HP:0002745
Insuffisance respiratoire due à une faiblesse musculaire	HP:0002747
Diminution de la fonction pulmonaire en raison de la faiblesse des muscles respiratoires	HP:0002747
Diminution de la fonction respiratoire due à une faiblesse musculaire	HP:0002747
Détresse respiratoire due à une faiblesse musculaire	HP:0002747
Insuffisance respiratoire due à une faiblesse musculaire	HP:0002747
Faiblesse musculaire respiratoire	HP:0002747
Rachitisme	HP:0002748
Os faibles et mous	HP:0002748
Ostéomalacie	HP:0002749
Ramollissement des os	HP:0002749
Maturation squelettique retardée	HP:0002750
Âge osseux retardé	HP:0002750
Âge osseux retardé avant la puberté	HP:0002750
Maturation osseuse retardée	HP:0002750
Développement squelettique retardé	HP:0002750
Âge osseux retardé	HP:0002750
Ossification retardée	HP:0002750
Retard de maturation squelettique	HP:0002750
Cyphoscoliose	HP:0002751
Trabécules osseuses clairsemées	HP:0002752
Cortex osseux fin	HP:0002753
Cortex fins	HP:0002753
Ostéomyélite	HP:0002754
Infection osseuse	HP:0002754
Ostéomyélite obsolète due à un déficit immunitaire	HP:0002755
Fracture pathologique	HP:0002756
Fractures pathologiques	HP:0002756
Fracture spontanée	HP:0002756
Fractures spontanées	HP:0002756
Fractures récurrentes	HP:0002757
Fractures fréquentes	HP:0002757
Augmentation du taux de fracture	HP:0002757
Augmentation des fractures	HP:0002757
Fractures multiples	HP:0002757
Fractures spontanées multiples	HP:0002757
Fractures récurrentes	HP:0002757
Divers degrés de fractures multiples	HP:0002757
Arthrose	HP:0002758
Maladie dégénérative des articulations	HP:0002758
Laxité articulaire généralisée	HP:0002761
Laxité articulaire généralisée	HP:0002761
Hypermobilité de toutes les articulations	HP:0002761
Laxité articulaire généralisée	HP:0002761
Laxité articulaire généralisée	HP:0002761
Exostoses multiples	HP:0002762
Morphologie anormale du cartilage	HP:0002763
Forme anormale du cartilage	HP:0002763
Anomalie de la morphologie du cartilage	HP:0002763
Calcification chondrale pointillée	HP:0002764
Colonne vertébrale relativement courte	HP:0002766
Colonne vertébrale relativement courte	HP:0002766
obsolètes Petits corps vertébraux	HP:0002773
Sténose trachéale	HP:0002777
Rétrécissement de la trachée	HP:0002777
Morphologie trachéale anormale	HP:0002778
Morphologie anormale de la trachée	HP:0002778
Anomalie de la trachée	HP:0002778
Maladie trachéale	HP:0002778
Trachéomalacie	HP:0002779
Trachée souple	HP:0002779
Bronchomalacie	HP:0002780
Obstruction des voies respiratoires supérieures	HP:0002781
Obstruction des voies respiratoires supérieures	HP:0002781
Infections récurrentes des voies respiratoires inférieures	HP:0002783
Infections pulmonaires chroniques	HP:0002783
Infections des voies respiratoires inférieures	HP:0002783
Infections pulmonaires récurrentes	HP:0002783
Trachéobronchomalacie	HP:0002786
Calcification trachéale	HP:0002787
Calcification de la trachée	HP:0002787
Calcifications trachéales	HP:0002787
Calcification ectopique trachéale	HP:0002787
Infections récurrentes des voies respiratoires supérieures	HP:0002788
Infections fréquentes des voies respiratoires supérieures	HP:0002788
Infections fréquentes des voies respiratoires supérieures	HP:0002788
Rhumes récurrents	HP:0002788
Infections récurrentes des voies respiratoires supérieures et inférieures	HP:0002788
Infection récurrente des voies respiratoires supérieures	HP:0002788
Infections récurrentes des voies respiratoires supérieures	HP:0002788
URI récurrent	HP:0002788
Infections des voies respiratoires supérieures	HP:0002788
Infections des voies respiratoires supérieures, récurrentes	HP:0002788
Tachypnée	HP:0002789
Augmentation de la fréquence respiratoire ou de la profondeur de la respiration	HP:0002789
Polypnée	HP:0002789
Dérégulation respiratoire néonatale	HP:0002790
Troubles respiratoires chez le nouveau-né	HP:0002790
Hypoventilation	HP:0002791
Hypoventilation alvéolaire	HP:0002791
Dépression respiratoire	HP:0002791
Respiration lente	HP:0002791
Sous respiration	HP:0002791
Capacité vitale réduite	HP:0002792
Diminution de la capacité vitale	HP:0002792
Schéma respiratoire anormal	HP:0002793
Schéma respiratoire anormal	HP:0002793
Schémas respiratoires anormaux	HP:0002793
Des schémas respiratoires inhabituels	HP:0002793
Physiologie anormale du système respiratoire	HP:0002795
Respiration anormale	HP:0002795
Anomalie fonctionnelle respiratoire	HP:0002795
Fonction pulmonaire altérée	HP:0002795
Problème respiratoire	HP:0002795
Ostéolyse	HP:0002797
Dégradation osseuse	HP:0002797
Résorption osseuse accrue	HP:0002797
Défauts ostéolytiques des os	HP:0002797
Contracture congénitale	HP:0002803
contractures congénitales	HP:0002803
Contractures congénitales des articulations	HP:0002803
Arthrogrypose multiple congénitale	HP:0002804
Arthrogrypose	HP:0002804
Arthrogrypose multiplex	HP:0002804
Arthrogrypose congénitale	HP:0002804
Contractures congénitales multiples	HP:0002804
Âge osseux accéléré après la puberté	HP:0002805
Âge osseux accéléré après la puberté	HP:0002805
Cyphose	HP:0002808
Déformation de Gibbus	HP:0002808
Courbé en arrière	HP:0002808
Hypercyphose	HP:0002808
Dos rond	HP:0002808
Métaphyses en forme d'haltère	HP:0002810
Métaphyses en forme d'haltère	HP:0002810
Métaphyse en forme d'haltère	HP:0002810
Large portion d'os long en forme d'haltère	HP:0002810
bâton de cuisse	HP:0002812
Anomalie de la morphologie osseuse des membres	HP:0002813
Forme anormale de l'os du membre	HP:0002813
Différences osseuses des bras et/ou des jambes	HP:0002813
Anomalie des membres	HP:0002813
Anomalie du membre inférieur	HP:0002814
Anomalie de la jambe	HP:0002814
Anomalie du membre inférieur	HP:0002814
Malformations des membres inférieurs	HP:0002814
Anomalie du genou	HP:0002815
Anomalie du genou	HP:0002815
Genou plié	HP:0002816
Genou arrière	HP:0002816
Genre recourbé	HP:0002816
Hyperextension du genou	HP:0002816
Anomalie du membre supérieur	HP:0002817
Anomalie du bras	HP:0002817
Anomalie du membre supérieur	HP:0002817
Anomalie du rayon	HP:0002818
Arthropathie neuropathique	HP:0002821
Arthropathie de Charcot	HP:0002821
Restaurant Charcot	HP:0002821
Hyperplasie des trochanters fémoraux	HP:0002822
Trochanters fémoraux hyperplasiques	HP:0002822
Anomalie de la morphologie du fémur	HP:0002823
Anomalie des fémurs	HP:0002823
Anomalie du fémur	HP:0002823
Appendice caudal	HP:0002825
Queue coccygienne	HP:0002825
Queue humaine	HP:0002825
Bassin en forme de hallebarde	HP:0002826
Os du bassin en forme de hallebarde	HP:0002826
Luxation de la hanche	HP:0002827
Hanches luxées	HP:0002827
Luxation de la hanche	HP:0002827
Luxation de la hanche	HP:0002827
Contractures articulaires multiples	HP:0002828
Arthralgie	HP:0002829
Arthralgies	HP:0002829
Douleur arthritique	HP:0002829
Douleurs articulaires	HP:0002829
Douleurs articulaires	HP:0002829
Coccyx long	HP:0002831
Coccyx long	HP:0002831
Pointillés calciques	HP:0002832
Pointillés calcifiants discrets	HP:0002832
Angiomatose kystique des os	HP:0002833
Lésions kystiques lytiques des os appendiculaires	HP:0002833
Métaphyse fémorale évasée	HP:0002834
Métaphyse évasée du fémur	HP:0002834
Aspiration	HP:0002835
Aspiration pulmonaire	HP:0002835
Exstrophie vésicale	HP:0002836
Ectopie de la vessie	HP:0002836
Bronchite récurrente	HP:0002837
Bronchite récurrente	HP:0002837
Dysfonctionnement du sphincter de la vessie	HP:0002839
Troubles sphinctériens	HP:0002839
Troubles sphinctériens	HP:0002839
Lymphadénite	HP:0002840
Inflammation des ganglions lymphatiques	HP:0002840
Infections fongiques récurrentes	HP:0002841
Infections fongiques récurrentes	HP:0002841
Infections récurrentes à Burkholderia cepacia	HP:0002842
Morphologie anormale des lymphocytes T	HP:0002843
Cellules T anormales	HP:0002843
Anomalie des cellules T	HP:0002843
Défaut immunitaire cellulaire	HP:0002843
Immunité cellulaire défectueuse	HP:0002843
obsolète Proportion accrue de lymphocytes T CD3+ périphériques	HP:0002845
Morphologie anormale des cellules B	HP:0002846
Cellules B anormales	HP:0002846
Anomalie des cellules B	HP:0002846
Génération de cellules B à mémoire altérée	HP:0002847
Diminution du taux d’anticorps spécifiques anti-polysaccharides	HP:0002848
Réponse anticorps déprimée aux antigènes polysaccharidiques	HP:0002848
Faible titre d’anticorps anti-polysaccharide spécifique	HP:0002848
Déficit spécifique en anticorps anti-polysaccharide	HP:0002848
Absence de centre germinal des ganglions lymphatiques	HP:0002849
Absence de centre germinal des ganglions lymphatiques	HP:0002849
Les ganglions lymphatiques manquent de centre germinal	HP:0002849
Les ganglions lymphatiques manquent de centre germinal	HP:0002849
Anomalie du centre germinal lymphoïde	HP:0002849
Anomalie du centre germinal lymphoïde	HP:0002849
Diminution des IgM totales circulantes	HP:0002850
Diminution des IgM	HP:0002850
Diminution du niveau d'IgM	HP:0002850
Déficit en IgM	HP:0002850
Niveaux d'IgM réduits	HP:0002850
Proportion élevée de lymphocytes T régulateurs CD4-négatifs, CD8-négatifs et alpha-bêta	HP:0002851
Augmentation du nombre de lymphocytes T CD4-/CD8-T exprimant les récepteurs des lymphocytes T alpha/bêta	HP:0002851
Proportion accrue de cellules T HLA DR+	HP:0002853
Genu valgum	HP:0002857
Genu valgus	HP:0002857
Lumière authentique	HP:0002857
Gênes verser	HP:0002857
Valgus de l'articulation du genou	HP:0002857
Frapper les genoux	HP:0002857
Méningiome	HP:0002858
Croissance non cancéreuse des membranes recouvrant le cerveau	HP:0002858
Rhabdomyosarcome	HP:0002859
Carcinome squameux	HP:0002860
Cancer épidermoïde	HP:0002860
Mélanome	HP:0002861
Cancer des cellules pigmentaires de la peau	HP:0002861
Mélanome malin	HP:0002861
Cancer de la peau (mélanome)	HP:0002861
Carcinome de la vessie	HP:0002862
Myélodysplasie	HP:0002863
Myélodysplasie hypoplasique	HP:0002863
Syndrome myélodysplasique	HP:0002863
Paragangliome de la tête et du cou	HP:0002864
Paragangliomes, tête et cou	HP:0002864
Carcinome médullaire de la thyroïde	HP:0002865
Cancer médullaire de la thyroïde	HP:0002865
Aile iliaque hypoplasique	HP:0002866
Hypoplasie des ailes iliaques	HP:0002866
Ailes iliaques hypoplasiques	HP:0002866
Petites ailes iliaques	HP:0002866
Morphologie iliaque anormale	HP:0002867
Anomalie de l'ilium	HP:0002867
Anomalies iliaques	HP:0002867
Aile iliaque étroite	HP:0002868
Ailes iliaques étroites	HP:0002868
Aile iliaque évasée	HP:0002869
Ailes iliaques évasées	HP:0002869
Apnée obstructive du sommeil	HP:0002870
Apnée obstructive du sommeil	HP:0002870
Apnée centrale	HP:0002871
Apnée centrale	HP:0002871
Épisodes apnéiques précipités par la maladie, la fatigue, le stress	HP:0002872
Apnée épisodique induite par une maladie fébrile ou le stress	HP:0002872
Dyspnée d'effort	HP:0002875
Essoufflement à l'effort	HP:0002875
Dyspnée d'effort	HP:0002875
Essoufflement lors d'une activité physique	HP:0002875
Tachypnée épisodique	HP:0002876
Hyperpnée épisodique	HP:0002876
Hypoventilation nocturne	HP:0002877
Hypoventilation pendant le sommeil	HP:0002877
Hypnée nocturne	HP:0002877
Respiration lente nocturne	HP:0002877
Nocturne sous respiration	HP:0002877
Insuffisance respiratoire	HP:0002878
Insuffisance respiratoire	HP:0002878
Anisospondylie	HP:0002879
obsolète Difficultés respiratoires	HP:0002880
Apnée épisodique soudaine	HP:0002882
Hyperventilation	HP:0002883
Respiration rapide	HP:0002883
Hépatoblastome	HP:0002884
Médulloblastome	HP:0002885
Paragangliome vagal	HP:0002886
Paragangliome glomus vagal	HP:0002886
Tumeur du glomus vagale	HP:0002886
Tumeur du glomus vagale	HP:0002886
Tumeurs du nerf vagal	HP:0002886
Tumeurs du nerf vagal	HP:0002886
Épendymome	HP:0002888
Carcinome de la thyroïde	HP:0002890
Léiomyosarcome utérin	HP:0002891
Adénome hypophysaire	HP:0002893
Tumeur non cancéreuse de l'hypophyse	HP:0002893
Tumeur non cancéreuse de l'hypophyse	HP:0002893
Adénome de l'hypophyse	HP:0002893
Tumeur du pancréas	HP:0002894
Cancer du pancréas	HP:0002894
risque accru de cancer du pancréas	HP:0002894
Néoplasie du pancréas	HP:0002894
Cancer du pancréas	HP:0002894
Tumeur pancréatique	HP:0002894
Tumeur pancréatique	HP:0002894
Carcinome papillaire de la thyroïde	HP:0002895
Carcinome papillaire de la thyroïde	HP:0002895
Carcinome papillaire de la thyroïde	HP:0002895
Tumeur du foie	HP:0002896
Cancer du foie	HP:0002896
Tumeur du foie	HP:0002896
Tumeur du foie	HP:0002896
Adénome parathyroïdien	HP:0002897
Adénomes parathyroïdiens	HP:0002897
Tumeur embryonnaire	HP:0002898
Néoplasie embryonnaire	HP:0002898
Tumeurs embryonnaires	HP:0002898
Tumeurs embryonnaires	HP:0002898
Hypokaliémie	HP:0002900
Faibles niveaux de potassium dans le sang	HP:0002900
Hypocalcémie	HP:0002901
Hypocalcémie	HP:0002901
Faibles niveaux de calcium dans le sang	HP:0002901
Hyponatrémie	HP:0002902
Faibles niveaux de sodium dans le sang	HP:0002902
Hyperbilirubinémie	HP:0002904
Taux élevés de bilirubine dans le sang	HP:0002904
Hyperphosphatémie	HP:0002905
Taux élevés de phosphate dans le sang	HP:0002905
Hématurie microscopique	HP:0002907
Microhématurie	HP:0002907
Hématurie occulte	HP:0002907
Petite quantité de sang dans les urines	HP:0002907
Hyperbilirubinémie conjuguée	HP:0002908
Hyperbilirubinémie directe	HP:0002908
Aminoacidurie généralisée	HP:0002909
Aminoacidurie généralisée	HP:0002909
Aminoacidurie généralisée non spécifique	HP:0002909
Aminoacidurie généralisée non spécifique	HP:0002909
Transaminases hépatiques élevées	HP:0002910
Enzymes hépatiques anormales	HP:0002910
Fonction hépatique anormale	HP:0002910
Tests de fonction hépatique anormaux	HP:0002910
Enzymes hépatiques élevées	HP:0002910
Tests de la fonction hépatique élevés	HP:0002910
Transaminases sériques élevées	HP:0002910
Transaminases élevées	HP:0002910
Enzymes hépatiques élevées	HP:0002910
Augmentation des enzymes hépatiques	HP:0002910
Augmentation des tests de la fonction hépatique	HP:0002910
Augmentation des transaminases	HP:0002910
Enzymes hépatiques élevées	HP:0002910
Tests de la fonction hépatique anormaux subcliniques	HP:0002910
Acidémie méthylmalonique	HP:0002912
Concentration élevée d’acide méthylmalonique circulant	HP:0002912
Myoglobinurie	HP:0002913
Hyperchloridurie	HP:0002914
Augmentation du chlorure urinaire	HP:0002914
Anomalie de ségrégation chromosomique	HP:0002916
Hypomagnésémie	HP:0002917
Faibles niveaux de magnésium dans le sang	HP:0002917
Faibles niveaux de magnésium dans le sang	HP:0002917
Hypermagnésémie	HP:0002918
Taux élevés de magnésium dans le sang	HP:0002918
Taux élevés de magnésium dans le sang	HP:0002918
Cétonurie	HP:0002919
Acétonurie	HP:0002919
Cétoacidurie	HP:0002919
Cétonacidurie	HP:0002919
Corps cétoniques dans l'urine	HP:0002919
Diminution du taux d'ACTH circulant	HP:0002920
Anomalie du liquide céphalo-rachidien	HP:0002921
Résultats anormaux du LCR	HP:0002921
Anomalie du LCR	HP:0002921
Augmentation de la protéine du LCR	HP:0002922
Augmentation des protéines du liquide céphalorachidien	HP:0002922
Liquide céphalo-rachidien avec une augmentation des protéines	HP:0002922
Protéine élevée du liquide céphalo-rachidien	HP:0002922
Protéine LCS élevée	HP:0002922
Hyperprotéinorrhachie	HP:0002922
Augmentation des protéines dans le LCR	HP:0002922
Protéine du liquide céphalo-rachidien élevée	HP:0002922
Facteur rhumatoïde positif	HP:0002923
obsolète Diminution du taux d’aldostérone circulante	HP:0002924
Concentration élevée de thyréostimuline circulante	HP:0002925
Hormone thyréostimulante élevée	HP:0002925
Niveaux élevés d’hormone thyréostimuline	HP:0002925
TSH élevée	HP:0002925
Augmentation de la thyréostimuline sérique	HP:0002925
Augmentation de l'hormone stimulant la thyroïde	HP:0002925
Augmentation du taux d’hormone stimulant la thyroïde	HP:0002925
Augmentation du niveau de thyrotropine	HP:0002925
Excès de thyréostimuline	HP:0002925
Excès de TSH	HP:0002925
Anomalie de la physiologie thyroïdienne	HP:0002926
Fonction thyroïdienne anormale	HP:0002926
Histidinurie	HP:0002927
Histidine élevée dans l'urine	HP:0002927
Niveaux élevés d'histidine dans l'urine	HP:0002927
Diminution de l'activité du complexe pyruvate déshydrogénase	HP:0002928
Diminution de l'activité du complexe PDH	HP:0002928
Déficit en complexe pyruvate déshydrogénase	HP:0002928
Insensibilité des cellules de Leydig à la gonadotrophine	HP:0002929
Sensibilité altérée aux hormones thyroïdiennes	HP:0002930
Taux sériques élevés d'hormone thyroïdienne libre avec TSH non supprimée	HP:0002930
Insensibilité des organes cibles à l'hormone thyroïdienne	HP:0002930
Résistance aux hormones thyroïdiennes	HP:0002930
Défaut des récepteurs des hormones thyroïdiennes	HP:0002930
Résistance aux hormones thyroïdiennes	HP:0002930
Déficit en aldéhyde oxydase	HP:0002932
Hernie ventrale	HP:0002933
Déficience sensorielle distale	HP:0002936
Diminution de la sensation distale	HP:0002936
Diminution des sensations dans les extrémités	HP:0002936
Perte de sensation distale	HP:0002936
Déficience sensorielle distale des membres inférieurs	HP:0002936
Déficience sensorielle distale des membres inférieurs	HP:0002936
Perte sensorielle distale	HP:0002936
Perte sensorielle distale, membres supérieurs et inférieurs	HP:0002936
Perte de sensation distale	HP:0002936
Hémivertèbres	HP:0002937
Hémi-vertèbres	HP:0002937
Hémivertèbre	HP:0002937
Partie manquante d'une vertèbre	HP:0002937
Hyperlordose lombaire	HP:0002938
Lordose lombaire exagérée	HP:0002938
Courbure excessive vers l’intérieur du bas de la colonne vertébrale	HP:0002938
Augmentation de la lordose lombaire	HP:0002938
Lordose lombaire	HP:0002938
Lordose lombaire importante	HP:0002938
Cyphose thoracique	HP:0002942
Cyphose thoracique accentuée	HP:0002942
Cyphose thoracique exagérée	HP:0002942
Scoliose thoracique	HP:0002943
Scoliose thoracolombaire	HP:0002944
Scoliose thoraco-lombaire	HP:0002944
Rétrécissement de l'espace intervertébral	HP:0002945
Espaces étroits des disques intervertébraux	HP:0002945
Espaces intervertébraux étroits	HP:0002945
Vertèbres surnuméraires	HP:0002946
Cyphose cervicale	HP:0002947
Col arrondi	HP:0002947
Fusion vertébrale	HP:0002948
Vertèbres fusionnées	HP:0002948
Fusion des corps vertébraux	HP:0002948
Fusion vertébrale	HP:0002948
Fusion du corps vertébral	HP:0002948
Vertèbres cervicales fusionnées	HP:0002949
Fusion de la colonne cervicale	HP:0002949
Fusion vertébrale cervicale	HP:0002949
Col fusionné	HP:0002949
Fusion des vertèbres cervicales	HP:0002949
Absence partielle de vermis cérébelleux	HP:0002951
Fracture vertébrale par compression	HP:0002953
Fracture par compression d'un corps vertébral	HP:0002953
Fractures des corps vertébraux	HP:0002953
Compression du corps vertébral	HP:0002953
Effondrement vertébral	HP:0002953
Compression vertébrale	HP:0002953
Fractures vertébrales par compression	HP:0002953
Compression ou effondrement vertébral	HP:0002953
Granulomatose	HP:0002955
Dérégulation immunitaire	HP:0002958
Dérégulation immunitaire	HP:0002958
Réponse immunitaire non régulée	HP:0002958
Recombinaison de commutateur de classe Ig altérée	HP:0002959
Changement d'isotype des lymphocytes B altéré	HP:0002959
Auto-immunité	HP:0002960
Maladie auto-immune	HP:0002960
Maladie auto-immune	HP:0002960
Maladie auto-immune	HP:0002960
Auto-immunité	HP:0002960
Dysgammaglobulinémie	HP:0002961
Test cutané d'hypersensibilité retardée anormal	HP:0002963
Anergie cutanée	HP:0002965
Absence de test cutané d’hypersensibilité retardée	HP:0002965
Absence de réaction d’hypersensibilité cutanée retardée	HP:0002965
Cubitus valgus	HP:0002967
Coudes tournés vers l’extérieur	HP:0002967
Articulation du genou	HP:0002970
Véritablement	HP:0002970
Produit de Gênes	HP:0002970
Jambes arquées vers l'extérieur	HP:0002970
Vers l'extérieur, s'inclinant à genoux	HP:0002970
Absence de microvillosités à la surface des lymphocytes du sang périphérique	HP:0002971
Hypersensibilité retardée réduite	HP:0002972
Diminution de la réactivité aux antigènes des tests cutanés	HP:0002972
Déficit d'hypersensibilité cutanée retardée	HP:0002972
Hypersensibilité retardée altérée	HP:0002972
Anomalie de l'avant-bras	HP:0002973
Anomalie de l'avant-bras	HP:0002973
Synostose radio-ulnaire	HP:0002974
Os de l'avant-bras fusionnés	HP:0002974
Aplasie/hypoplasie impliquant le système nerveux central	HP:0002977
Tissu du système nerveux central absent/sous-développé	HP:0002977
Aplasie/hypoplasie impliquant le SNC	HP:0002977
Courbure des jambes	HP:0002979
Jambes arquées	HP:0002979
Jambes arquées	HP:0002979
Jambes arquées	HP:0002979
Membres inférieurs courbés	HP:0002979
Cintrage fémoral	HP:0002980
Fémur courbé	HP:0002980
Fémura courbée	HP:0002980
Fémurs arqués	HP:0002980
Fosse courbé	HP:0002980
Anomalie du mollet	HP:0002981
Anomalie du mollet	HP:0002981
Cintrage tibial	HP:0002982
Jarret courbé	HP:0002982
Tibia courbé	HP:0002982
Tibia courbé	HP:0002982
Courbure du tibia	HP:0002982
Micromélie	HP:0002983
Plus petits ou plus courts que les membres typiques	HP:0002983
Hypoplasie du radius	HP:0002984
Rayons hypoplasiques	HP:0002984
Rayon hypoplasique	HP:0002984
Hypoplasie radiale	HP:0002984
Hypoplasie des rayons radiaux	HP:0002984
Rayons courts	HP:0002984
Rayon court	HP:0002984
Raccourcissement du rayon	HP:0002984
Gros os externe sous-développé de l’avant-bras	HP:0002984
Courbure radiale	HP:0002986
Rayons courbés	HP:0002986
Rayon courbé	HP:0002986
Courbure du gros os externe de l’avant-bras	HP:0002986
Courbure du radius de l'avant-bras	HP:0002986
Contracture de flexion du coude	HP:0002987
Contracture de l'articulation du coude	HP:0002987
Contractures des coudes	HP:0002987
Contractures des coudes	HP:0002987
Contracture du coude	HP:0002987
Contractures du coude	HP:0002987
Contractures de flexion du coude	HP:0002987
Déformation en flexion du coude	HP:0002987
Flexion fixe au niveau de l'articulation du coude	HP:0002987
Aplasie péronière	HP:0002990
Os du mollet absent	HP:0002990
Fibules absentes	HP:0002990
Fibules absentes-hypoplasiques	HP:0002990
Anomalie de la morphologie du péroné	HP:0002991
Anomalie de l'os du mollet	HP:0002991
Anomalie de la morphologie du tibia	HP:0002992
Anomalie du jarret	HP:0002992
Anomalie du tibia	HP:0002992
Mouvement limité du coude	HP:0002996
Diminution de la mobilité du coude	HP:0002996
Mobilité limitée du coude	HP:0002996
Mouvement limité du coude	HP:0002996
Mouvement du coude restreint	HP:0002996
Anomalie du cubitus	HP:0002997
Luxation rotulienne	HP:0002999
Rotule luxée	HP:0002999
Rotules disloquées	HP:0002999
Luxation de la rotule	HP:0002999
Tumeur du glomus jugulaire	HP:0003001
Tumeur du glomus jugulaire	HP:0003001
Gonflement de la gorge	HP:0003001
Tumeurs du glomus jugulaire	HP:0003001
Tumeur du glomus jugulaire	HP:0003001
Tumeurs du glomus jugulaire	HP:0003001
Carcinome du sein	HP:0003002
Cancer du sein	HP:0003002
Cancer du côlon	HP:0003003
Cancer du côlon	HP:0003003
Ganglioneurome	HP:0003005
Neuroblastome	HP:0003006
Cancer des cellules nerveuses précoces	HP:0003006
Neurotoxicité accrue de la vincristine	HP:0003009
Temps de saignement prolongé	HP:0003010
Augmentation du temps de saignement	HP:0003010
Temps de saignement prolongé	HP:0003010
Anomalie de la musculature	HP:0003011
Anomalie musculaire	HP:0003011
Épiphyses bombées	HP:0003013
Extrémité bombée de l'os	HP:0003013
Métaphyse évasée	HP:0003015
Large partie évasée de l'os long	HP:0003015
Métaphyses évasées et élargies	HP:0003015
évasement métaphysaire marqué des os longs	HP:0003015
Flambée métaphysaire	HP:0003015
Évasement métaphysaire des os longs	HP:0003015
Évasement métaphysaire	HP:0003015
Les métaphyses s'enflamment	HP:0003015
Métaphyses évasées	HP:0003015
Élargissement métaphysaire	HP:0003016
Large portion large d'os long	HP:0003016
De larges métaphyses	HP:0003016
Métaphyses élargies des os longs	HP:0003016
Métaphyses élargies	HP:0003016
Anomalie du poignet	HP:0003019
Anomalies des poignets	HP:0003019
Anomalie du poignet	HP:0003019
Agrandissement des poignets	HP:0003020
Agrandissement des poignets	HP:0003020
Ventouses métaphysaires	HP:0003021
Hypoplasie du cubitus	HP:0003022
Cubitus hypoplasique	HP:0003022
Cubitus court	HP:0003022
Cubitus court	HP:0003022
Hypoplasie ulnaire	HP:0003022
Os interne du gros avant-bras sous-développé	HP:0003022
Cubitus sous-développé	HP:0003022
Courbure des membres due à de multiples fractures	HP:0003023
Membres courbés en raison de multiples fractures	HP:0003023
Irrégularité métaphysaire	HP:0003025
Métaphyses effilochées et irrégulières	HP:0003025
Effilochées, irrégulières, métaphyses	HP:0003025
Métaphyses irrégulières	HP:0003025
Partie large et irrégulière d'un os long	HP:0003025
Effilochage métaphysaire	HP:0003025
Irrégularités métaphysaires	HP:0003025
Os long et court	HP:0003026
Raccourcissement des os longs	HP:0003026
Os long et court	HP:0003026
Os tubulaires courts	HP:0003026
os tubulaires longs raccourcis	HP:0003026
Mésomélie	HP:0003027
Partie médiane du membre disproportionnellement courte	HP:0003027
Raccourcissement mésomélique des membres	HP:0003027
Raccourcissement mésomélique des membres	HP:0003027
Essoufflement mésomélique symétrique des membres	HP:0003027
Anomalie des chevilles	HP:0003028
Anomalie des chevilles	HP:0003028
Agrandissement des chevilles	HP:0003029
Agrandissement des chevilles	HP:0003029
Courbure ulnaire	HP:0003031
